appname,freq,correct_appname
nan,7330,
whatsapp,1841,
instagram,1662,
tiktok,473,
ethica,416,
whatsapp ,306,
safari,269,
youtube,267,
instagram y,248,instagram
whatsapp y,239,whatsapp
snapchat,208,
spotify,181,
e whatsapp,179,whatsapp
a whatsapp,119,whatsapp
orologio,104,
foto,98,
hay day,93,
a tiktok,92,tiktok
whatsapp 5,88,whatsapp
qd whatsapp,80,whatsapp
whatsapp x,78,whatsapp
e whatsapp y,72,whatsapp
instagram 5,70,instagram
cf tiktok,67,tiktok
oe youtube,60,youtube
ethica ,56,
galleria,55,
x snapchat,55,snapchat
q whatsapp,51,whatsapp
whatsa,51,whatsapp
s ethica,50,ethica
g  google ,50,google
a,49,
musica,48,
cs tiktok,45,tiktok
onefootball,40,
cf,38,
r ethica,38,ethica
g,37,
youtube y,37,youtube
messaggi,36,
instagram ,36,
zenly ,35,
0d tiktok,34,tiktok
dashboard,34,
note,33,
oq whatsapp,32,whatsapp
ad whatsapp,32,whatsapp
imposta i timer per le,31,
app,31,
orologio y,31,orologio
internet samsung,31,
eo  youtube,30,youtube
ch tiktok,30,tiktok
onedrive ,28,
chrome,28,
c  tiktok,27,tiktok
oo google play store ,27,google play store
netflix,27,
snapchat ,26,
twitter,26,
google,26,
8 snapchat,25,snapchat
wattpad,25,
tiktok y,25,tiktok
clock,24,
google ,24,
c  instagram,23,instagram
orologio ,23,
life360 ,22,
fot,22,
safari y,21,safari
gs google,21,google
o youtube,20,youtube
whatsapp 4,20,whatsapp
discord,20,
twitch,20,
life360,20,
c tiktok,20,tiktok
spotify 5,19,spotify
a tiktok y,19,tiktok
od whatsapp,19,whatsapp
verwendet,19,
notifiche,19,
youtube music,19,
telefono,18,
ethi,18,ethica
youtube ,18,youtube
j,18,
a fotocamera,18,
f,18,
notifiche ricevute,18,
spotify y,17,spotify
gmail ,17,
quizlet,17,
galleria ,17,
ct tiktok,17,tiktok
puoi impostare timer giornalieri x,16,
o ethica ,16,ethica
youtube 5,15,youtube
mobile ffs,15,
foto y,15,foto
tiktok x,15,tiktok
a whatsapp y,15,whatsapp
cd tiktox,15,tiktok
musica y,15,musica
google play store ,15,
youtube music ,15,
messaggi y,15,messaggi
melee,15,
ethica y,14,ethica
oo whatsapp,14,whatsapp
io whatsapp,14,whatsapp
s,14,
r ethica y,14,ethica
snapchat y,14,snapchat
gmail,14,
oe youtube y,13,youtube
pinterest,13,
a snapchat,13,snapchat
x snapchat y,13,snapchat
telegram,13,
telegram ,13,telegram
disney,13,
visualizza altro,12,
onefootball ,12,
spotify r,12,spotify
traduttore,12,
0 tiktok,12,tiktok
pingo ,12,
instagram 4,12,instagram
3  snapchat ,12,snapchat
photos,11,
h tiktok,11,tiktok
fotocamera,11,
ttranteh,11,
x snapchat x,11,snapchat
rat snapchat,11,snapchat
gs google y,11,google
instagram x,11,instagram
2 whatsapp,11,whatsapp
0 netflix,11,netflix
photomath,11,
e spotify,11,spotify
oe whatsapp,10,whatsapp
a fotocamera y,10,fotocamera
mail,10,
c  instagram ,10,instagram
shortcuts,10,
e whatsapp x,10,whatsapp
pp,10,
music,10,
esound,10,
ey orologio,10,orologio
eo youtube,10,youtube
1  attivazione schermo totale,9,attivazione schermo totale
0d tiktok 5,9,tiktok
safari x,9,safari
youtube x,9,youtube
o,9,
cd tiktok,9,tiktok
galleria 2,9,galleria
e youtube,9,youtube
hay day y,9,hay day
a7,9,
stumble guys,9,
i,9,
he,9,
kx snapchat,9,snapchat
ethica 5,9,ethica
t tiktok,9,tiktok
o snapchat ,9,snapchat
o spotify,9,spotify
clash of clans,9,
an,9,
zoner antivirus ,8,
d whatsapp,8,whatsapp
safari 5,8,safari
oo,8,
snapchat x,8,snapchat
d  tiktok,8,tiktok
on whatsapp,8,whatsapp
mete,8,
clash royale,8,
youtube vanced,8,
game launcher ,8,
r  ethica,8,ethica
eo  youtube ,8,youtube
th,8,
pok mon go,8,
promemoria,8,
o chrome,8,chrome
g  google,8,google
w wattpad,8,wattpad
x snapchat 5,8,snapchat
